Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
UNITED STATES	00000	0	48451	0000	0000	0	50740	0000	0000	0	52029	0000	0000	0	50221	0000	0000	0	36424609	0000	0000	0	35573858	0000	0000	0	34475762	0000	0000	0	32791272	0000	0000	0	31581086	0000	0000	0	32906511	0000	0000
ALABAMA	01000	0	38811	0000	0000	0	40596	0000	0000	0	42586	0000	0000	0	40547	0000	0000	0	752097	0000	0000	0	700944	0000	0000	0	681788	0000	0000	0	667468	0000	0000	0	637119	0000	0000	0	685071	0000	0000
Autauga, AL	01001	0	46491	0000	0000	0	50375	0000	0000	0	51622	0000	0000	0	53081	0000	0000	0	5471	0000	0000	0	5034	0000	0000	0	4901	0000	0000	0	4991	0000	0000	0	4681	0000	0000	0	4904	0000	0000
Baldwin, AL	01003	0	45493	0000	0000	0	49163	0000	0000	0	51957	0000	0000	0	48637	0000	0000	0	15494	0000	0000	0	14907	0000	0000	0	15089	0000	0000	0	14668	0000	0000	0	13855	0000	0000	0	16313	0000	0000
Barbour, AL	01005	0	28692	0000	0000	0	30370	0000	0000	0	30896	0000	0000	0	28802	0000	0000	0	6423	0000	0000	0	6119	0000	0000	0	5795	0000	0000	0	5903	0000	0000	0	5847	0000	0000	0	6312	0000	0000
Bibb, AL	01007	0	36794	0000	0000	0	38907	0000	0000	0	41076	0000	0000	0	38294	0000	0000	0	3313	0000	0000	0	3306	0000	0000	0	3313	0000	0000	0	3399	0000	0000	0	3561	0000	0000	0	3605	0000	0000
Blount, AL	01009	0	41494	0000	0000	0	43266	0000	0000	0	46086	0000	0000	0	41520	0000	0000	0	6041	0000	0000	0	6203	0000	0000	0	6176	0000	0000	0	6271	0000	0000	0	6193	0000	0000	0	7152	0000	0000
Bullock, AL	01011	0	23095	0000	0000	0	24969	0000	0000	0	26980	0000	0000	0	24206	0000	0000	0	3524	0000	0000	0	3051	0000	0000	0	2909	0000	0000	0	2724	0000	0000	0	2850	0000	0000	0	3218	0000	0000
Butler, AL	01013	0	29158	0000	0000	0	30460	0000	0000	0	31449	0000	0000	0	27794	0000	0000	0	5540	0000	0000	0	5106	0000	0000	0	5068	0000	0000	0	4650	0000	0000	0	4343	0000	0000	0	4440	0000	0000
Calhoun, AL	01015	0	36684	0000	0000	0	37478	0000	0000	0	39997	0000	0000	0	37340	0000	0000	0	20008	0000	0000	0	18593	0000	0000	0	18393	0000	0000	0	18035	0000	0000	0	16561	0000	0000	0	17816	0000	0000
Chambers, AL	01017	0	32014	0000	0000	0	33904	0000	0000	0	35614	0000	0000	0	30621	0000	0000	0	6828	0000	0000	0	6192	0000	0000	0	6154	0000	0000	0	6036	0000	0000	0	5558	0000	0000	0	5814	0000	0000
Cherokee, AL	01019	0	37097	0000	0000	0	37376	0000	0000	0	38028	0000	0000	0	38024	0000	0000	0	3420	0000	0000	0	3506	0000	0000	0	3562	0000	0000	0	3665	0000	0000	0	3710	0000	0000	0	4052	0000	0000
Chilton, AL	01021	0	36717	0000	0000	0	39663	0000	0000	0	40292	0000	0000	0	38916	0000	0000	0	6256	0000	0000	0	6062	0000	0000	0	6055	0000	0000	0	6076	0000	0000	0	6082	0000	0000	0	6539	0000	0000
Choctaw, AL	01023	0	28730	0000	0000	0	31508	0000	0000	0	30728	0000	0000	0	31067	0000	0000	0	3770	0000	0000	0	3568	0000	0000	0	3326	0000	0000	0	3177	0000	0000	0	2931	0000	0000	0	2982	0000	0000
Clarke, AL	01025	0	29659	0000	0000	0	32627	0000	0000	0	34101	0000	0000	0	32729	0000	0000	0	6571	0000	0000	0	6256	0000	0000	0	6043	0000	0000	0	5732	0000	0000	0	5247	0000	0000	0	5438	0000	0000
Clay, AL	01027	0	32512	0000	0000	0	36009	0000	0000	0	33032	0000	0000	0	34831	0000	0000	0	2004	0000	0000	0	2061	0000	0000	0	2031	0000	0000	0	2070	0000	0000	0	2003	0000	0000	0	2200	0000	0000
Cleburne, AL	01029	0	35119	0000	0000	0	38918	0000	0000	0	37742	0000	0000	0	37870	0000	0000	0	2096	0000	0000	0	2123	0000	0000	0	2110	0000	0000	0	2034	0000	0000	0	2050	0000	0000	0	2378	0000	0000
Coffee, AL	01031	0	41417	0000	0000	0	36819	0000	0000	0	43145	0000	0000	0	43296	0000	0000	0	6305	0000	0000	0	6332	0000	0000	0	6122	0000	0000	0	6275	0000	0000	0	6177	0000	0000	0	6725	0000	0000
Colbert, AL	01033	0	36690	0000	0000	0	37530	0000	0000	0	39947	0000	0000	0	37111	0000	0000	0	7495	0000	0000	0	7217	0000	0000	0	7403	0000	0000	0	7430	0000	0000	0	7128	0000	0000	0	7990	0000	0000
Conecuh, AL	01035	0	25992	0000	0000	0	27555	0000	0000	0	27068	0000	0000	0	26882	0000	0000	0	3982	0000	0000	0	3833	0000	0000	0	3571	0000	0000	0	3408	0000	0000	0	3157	0000	0000	0	3204	0000	0000
Coosa, AL	01037	0	32424	0000	0000	0	34667	0000	0000	0	36050	0000	0000	0	34795	0000	0000	0	1830	0000	0000	0	1847	0000	0000	0	1817	0000	0000	0	1779	0000	0000	0	1701	0000	0000	0	1784	0000	0000
Covington, AL	01039	0	30293	0000	0000	0	32490	0000	0000	0	33773	0000	0000	0	32179	0000	0000	0	7901	0000	0000	0	7356	0000	0000	0	7431	0000	0000	0	6906	0000	0000	0	6463	0000	0000	0	6813	0000	0000
Crenshaw, AL	01041	0	30576	0000	0000	0	33156	0000	0000	0	34402	0000	0000	0	31849	0000	0000	0	3010	0000	0000	0	2837	0000	0000	0	2794	0000	0000	0	2742	0000	0000	0	2590	0000	0000	0	2638	0000	0000
Cullman, AL	01043	0	35774	0000	0000	0	39194	0000	0000	0	39276	0000	0000	0	37425	0000	0000	0	10323	0000	0000	0	9809	0000	0000	0	10077	0000	0000	0	9948	0000	0000	0	9880	0000	0000	0	10905	0000	0000
Dale, AL	01045	0	36969	0000	0000	0	41214	0000	0000	0	42867	0000	0000	0	41279	0000	0000	0	8393	0000	0000	0	8357	0000	0000	0	8147	0000	0000	0	7830	0000	0000	0	7261	0000	0000	0	7814	0000	0000
Dallas, AL	01047	0	26135	0000	0000	0	27647	0000	0000	0	27992	0000	0000	0	27088	0000	0000	0	16046	0000	0000	0	13902	0000	0000	0	13075	0000	0000	0	12139	0000	0000	0	11175	0000	0000	0	11298	0000	0000
DeKalb, AL	01049	0	31613	0000	0000	0	35558	0000	0000	0	35377	0000	0000	0	33919	0000	0000	0	9527	0000	0000	0	9096	0000	0000	0	9658	0000	0000	0	9814	0000	0000	0	9641	0000	0000	0	10862	0000	0000
Elmore, AL	01051	0	50006	0000	0000	0	49193	0000	0000	0	53296	0000	0000	0	50194	0000	0000	0	7626	0000	0000	0	7688	0000	0000	0	7600	0000	0000	0	7163	0000	0000	0	7493	0000	0000	0	8453	0000	0000
Escambia, AL	01053	0	32844	0000	0000	0	34615	0000	0000	0	32009	0000	0000	0	31443	0000	0000	0	8331	0000	0000	0	7401	0000	0000	0	7153	0000	0000	0	6883	0000	0000	0	6798	0000	0000	0	7246	0000	0000
Etowah, AL	01055	0	32448	0000	0000	0	35420	0000	0000	0	37264	0000	0000	0	38575	0000	0000	0	18272	0000	0000	0	17664	0000	0000	0	16893	0000	0000	0	16265	0000	0000	0	15796	0000	0000	0	17180	0000	0000
Fayette, AL	01057	0	34465	0000	0000	0	35957	0000	0000	0	34092	0000	0000	0	34262	0000	0000	0	3177	0000	0000	0	2851	0000	0000	0	3048	0000	0000	0	2956	0000	0000	0	2815	0000	0000	0	3040	0000	0000
Franklin, AL	01059	0	30911	0000	0000	0	30765	0000	0000	0	35248	0000	0000	0	32588	0000	0000	0	5027	0000	0000	0	4965	0000	0000	0	5107	0000	0000	0	5251	0000	0000	0	5205	0000	0000	0	5652	0000	0000
Geneva, AL	01061	0	30230	0000	0000	0	33734	0000	0000	0	32027	0000	0000	0	31347	0000	0000	0	4748	0000	0000	0	4699	0000	0000	0	4714	0000	0000	0	4747	0000	0000	0	4651	0000	0000	0	5066	0000	0000
Greene, AL	01063	0	23404	0000	0000	0	25137	0000	0000	0	26001	0000	0000	0	26131	0000	0000	0	4019	0000	0000	0	3521	0000	0000	0	3204	0000	0000	0	2834	0000	0000	0	2667	0000	0000	0	2794	0000	0000
Hale, AL	01065	0	29268	0000	0000	0	31481	0000	0000	0	31091	0000	0000	0	30124	0000	0000	0	5037	0000	0000	0	4448	0000	0000	0	4267	0000	0000	0	3902	0000	0000	0	3667	0000	0000	0	4192	0000	0000
Henry, AL	01067	0	35398	0000	0000	0	35076	0000	0000	0	36453	0000	0000	0	35215	0000	0000	0	2828	0000	0000	0	2882	0000	0000	0	2747	0000	0000	0	2743	0000	0000	0	2636	0000	0000	0	2773	0000	0000
Houston, AL	01069	0	37415	0000	0000	0	40461	0000	0000	0	42523	0000	0000	0	38751	0000	0000	0	14361	0000	0000	0	14134	0000	0000	0	14041	0000	0000	0	13968	0000	0000	0	13246	0000	0000	0	14241	0000	0000
Jackson, AL	01071	0	37545	0000	0000	0	36178	0000	0000	0	36597	0000	0000	0	35015	0000	0000	0	8154	0000	0000	0	7632	0000	0000	0	7519	0000	0000	0	7510	0000	0000	0	7158	0000	0000	0	7920	0000	0000
Jefferson, AL	01073	0	41731	0000	0000	0	44908	0000	0000	0	46269	0000	0000	0	43312	0000	0000	0	105779	0000	0000	0	95276	0000	0000	0	92575	0000	0000	0	89661	0000	0000	0	83078	0000	0000	0	87670	0000	0000
Lamar, AL	01075	0	31891	0000	0000	0	32893	0000	0000	0	32424	0000	0000	0	31226	0000	0000	0	2840	0000	0000	0	2902	0000	0000	0	2797	0000	0000	0	2616	0000	0000	0	2487	0000	0000	0	2610	0000	0000
Lauderdale, AL	01077	0	37801	0000	0000	0	37981	0000	0000	0	38592	0000	0000	0	39096	0000	0000	0	11308	0000	0000	0	11222	0000	0000	0	11403	0000	0000	0	11391	0000	0000	0	10913	0000	0000	0	12521	0000	0000
Lawrence, AL	01079	0	37501	0000	0000	0	39248	0000	0000	0	40655	0000	0000	0	36311	0000	0000	0	5546	0000	0000	0	5326	0000	0000	0	5189	0000	0000	0	5120	0000	0000	0	4845	0000	0000	0	5211	0000	0000
Lee, AL	01081	0	37568	0000	0000	0	39719	0000	0000	0	41770	0000	0000	0	37836	0000	0000	0	16457	0000	0000	0	14671	0000	0000	0	14540	0000	0000	0	15817	0000	0000	0	15943	0000	0000	0	17701	0000	0000
Limestone, AL	01083	0	44253	0000	0000	0	46753	0000	0000	0	46151	0000	0000	0	46610	0000	0000	0	8131	0000	0000	0	8231	0000	0000	0	8046	0000	0000	0	8329	0000	0000	0	7893	0000	0000	0	8243	0000	0000
Lowndes, AL	01085	0	26390	0000	0000	0	28530	0000	0000	0	30225	0000	0000	0	28100	0000	0000	0	4564	0000	0000	0	4152	0000	0000	0	3842	0000	0000	0	3483	0000	0000	0	3268	0000	0000	0	3395	0000	0000
Macon, AL	01087	0	24467	0000	0000	0	27011	0000	0000	0	27314	0000	0000	0	26328	0000	0000	0	7529	0000	0000	0	6792	0000	0000	0	6200	0000	0000	0	5947	0000	0000	0	5992	0000	0000	0	6062	0000	0000
Madison, AL	01089	0	51434	0000	0000	0	52870	0000	0000	0	55324	0000	0000	0	57327	0000	0000	0	31183	0000	0000	0	30571	0000	0000	0	29877	0000	0000	0	30056	0000	0000	0	27718	0000	0000	0	28902	0000	0000
Marengo, AL	01091	0	30515	0000	0000	0	32747	0000	0000	0	32381	0000	0000	0	31867	0000	0000	0	6437	0000	0000	0	5630	0000	0000	0	5236	0000	0000	0	4912	0000	0000	0	4568	0000	0000	0	4733	0000	0000
Marion, AL	01093	0	32792	0000	0000	0	32752	0000	0000	0	31602	0000	0000	0	32317	0000	0000	0	5108	0000	0000	0	4896	0000	0000	0	4811	0000	0000	0	4744	0000	0000	0	5039	0000	0000	0	5816	0000	0000
Marshall, AL	01095	0	37142	0000	0000	0	36931	0000	0000	0	36981	0000	0000	0	37506	0000	0000	0	11833	0000	0000	0	12108	0000	0000	0	12686	0000	0000	0	12273	0000	0000	0	11726	0000	0000	0	12893	0000	0000
Mobile, AL	01097	0	38188	0000	0000	0	37575	0000	0000	0	40951	0000	0000	0	39828	0000	0000	0	91977	0000	0000	0	80068	0000	0000	0	75752	0000	0000	0	72372	0000	0000	0	67590	0000	0000	0	71955	0000	0000
Monroe, AL	01099	0	32163	0000	0000	0	32367	0000	0000	0	34072	0000	0000	0	30920	0000	0000	0	5114	0000	0000	0	5239	0000	0000	0	4926	0000	0000	0	4852	0000	0000	0	4501	0000	0000	0	4561	0000	0000
Montgomery, AL	01101	0	40922	0000	0000	0	41199	0000	0000	0	43297	0000	0000	0	41084	0000	0000	0	41808	0000	0000	0	37506	0000	0000	0	35840	0000	0000	0	36039	0000	0000	0	34081	0000	0000	0	36650	0000	0000
Morgan, AL	01103	0	40681	0000	0000	0	43619	0000	0000	0	46284	0000	0000	0	40317	0000	0000	0	13057	0000	0000	0	12460	0000	0000	0	12362	0000	0000	0	12883	0000	0000	0	12269	0000	0000	0	13629	0000	0000
Perry, AL	01105	0	22637	0000	0000	0	24132	0000	0000	0	26513	0000	0000	0	24351	0000	0000	0	5077	0000	0000	0	4509	0000	0000	0	4087	0000	0000	0	3528	0000	0000	0	3490	0000	0000	0	3692	0000	0000
Pickens, AL	01107	0	29737	0000	0000	0	31497	0000	0000	0	31053	0000	0000	0	29677	0000	0000	0	5424	0000	0000	0	4962	0000	0000	0	4680	0000	0000	0	4445	0000	0000	0	4146	0000	0000	0	4208	0000	0000
Pike, AL	01109	0	29269	0000	0000	0	25817	0000	0000	0	32284	0000	0000	0	31229	0000	0000	0	7000	0000	0000	0	6778	0000	0000	0	6348	0000	0000	0	6014	0000	0000	0	6206	0000	0000	0	6562	0000	0000
Randolph, AL	01111	0	32984	0000	0000	0	34352	0000	0000	0	34185	0000	0000	0	33869	0000	0000	0	3978	0000	0000	0	3747	0000	0000	0	3555	0000	0000	0	3683	0000	0000	0	3656	0000	0000	0	4031	0000	0000
Russell, AL	01113	0	30627	0000	0000	0	33546	0000	0000	0	28855	0000	0000	0	33537	0000	0000	0	10089	0000	0000	0	9444	0000	0000	0	9085	0000	0000	0	8835	0000	0000	0	8366	0000	0000	0	9140	0000	0000
St. Clair, AL	01115	0	45549	0000	0000	0	50046	0000	0000	0	48804	0000	0000	0	45601	0000	0000	0	8408	0000	0000	0	8476	0000	0000	0	8328	0000	0000	0	8358	0000	0000	0	8240	0000	0000	0	9204	0000	0000
Shelby, AL	01117	0	66476	0000	0000	0	67031	0000	0000	0	71785	0000	0000	0	65408	0000	0000	0	9311	0000	0000	0	9616	0000	0000	0	9559	0000	0000	0	9735	0000	0000	0	9417	0000	0000	0	10477	0000	0000
Sumter, AL	01119	0	23130	0000	0000	0	23439	0000	0000	0	24221	0000	0000	0	22857	0000	0000	0	5647	0000	0000	0	5090	0000	0000	0	4499	0000	0000	0	4171	0000	0000	0	4096	0000	0000	0	4180	0000	0000
Talladega, AL	01121	0	35524	0000	0000	0	38644	0000	0000	0	35487	0000	0000	0	37260	0000	0000	0	15577	0000	0000	0	14776	0000	0000	0	14258	0000	0000	0	13603	0000	0000	0	12981	0000	0000	0	13751	0000	0000
Tallapoosa, AL	01123	0	32939	0000	0000	0	35801	0000	0000	0	35293	0000	0000	0	35702	0000	0000	0	6985	0000	0000	0	6817	0000	0000	0	6496	0000	0000	0	6617	0000	0000	0	6346	0000	0000	0	6817	0000	0000
Tuscaloosa, AL	01125	0	37952	0000	0000	0	41543	0000	0000	0	43744	0000	0000	0	41842	0000	0000	0	28186	0000	0000	0	26524	0000	0000	0	25356	0000	0000	0	24512	0000	0000	0	23817	0000	0000	0	25478	0000	0000
Walker, AL	01127	0	35123	0000	0000	0	35497	0000	0000	0	36221	0000	0000	0	36582	0000	0000	0	11372	0000	0000	0	10270	0000	0000	0	10387	0000	0000	0	10195	0000	0000	0	10388	0000	0000	0	11264	0000	0000
Washington, AL	01129	0	33896	0000	0000	0	35810	0000	0000	0	37076	0000	0000	0	36946	0000	0000	0	3734	0000	0000	0	3395	0000	0000	0	3381	0000	0000	0	3275	0000	0000	0	3055	0000	0000	0	3194	0000	0000
Wilcox, AL	01131	0	19949	0000	0000	0	21325	0000	0000	0	23090	0000	0000	0	22611	0000	0000	0	5442	0000	0000	0	4858	0000	0000	0	4515	0000	0000	0	4097	0000	0000	0	3923	0000	0000	0	3937	0000	0000
Winston, AL	01133	0	31869	0000	0000	0	32986	0000	0000	0	32018	0000	0000	0	31062	0000	0000	0	4047	0000	0000	0	4074	0000	0000	0	3859	0000	0000	0	3983	0000	0000	0	4304	0000	0000	0	4830	0000	0000
ALASKA	02000	0	58572	0000	0000	0	62854	0000	0000	0	67332	0000	0000	0	66712	0000	0000	0	60735	0000	0000	0	68409	0000	0000	0	65970	0000	0000	0	53963	0000	0000	0	52442	0000	0000	0	54357	0000	0000
Aleutians East, AK	02013	0	46164	0000	0000	0	56111	0000	0000	0	52786	0000	0000	0	50444	0000	0000	0	242	0000	0000	0	322	0000	0000	0	265	0000	0000	0	240	0000	0000	0	314	0000	0000	0	351	0000	0000
Aleutians West, AK	02016	0	64142	0000	0000	0	61536	0000	0000	0	62849	0000	0000	0	58174	0000	0000	0	286	0000	0000	0	269	0000	0000	0	240	0000	0000	0	290	0000	0000	0	347	0000	0000	0	318	0000	0000
Anchorage, AK	02020	0	63392	0000	0000	0	67856	0000	0000	0	74396	0000	0000	0	72210	0000	0000	0	21754	0000	0000	0	23244	0000	0000	0	22205	0000	0000	0	18397	0000	0000	0	17188	0000	0000	0	18024	0000	0000
Bethel, AK	02050	0	41156	0000	0000	0	39519	0000	0000	0	41755	0000	0000	0	41810	0000	0000	0	4746	0000	0000	0	5290	0000	0000	0	5022	0000	0000	0	3520	0000	0000	0	3554	0000	0000	0	3702	0000	0000
Bristol Bay, AK	02060	0	61445	0000	0000	0	62945	0000	0000	0	67214	0000	0000	0	64418	0000	0000	0	42	0000	0000	0	92	0000	0000	0	84	0000	0000	0	69	0000	0000	0	70	0000	0000	0	63	0000	0000
Denali, AK	02068	0	60832	0000	0000	0	64565	0000	0000	0	70720	0000	0000	0	62615	0000	0000	0	104	0000	0000	0	107	0000	0000	0	103	0000	0000	0	73	0000	0000	0	85	0000	0000	0	82	0000	0000
Dillingham, AK	02070	0	47179	0000	0000	0	49319	0000	0000	0	50827	0000	0000	0	46580	0000	0000	0	797	0000	0000	0	1284	0000	0000	0	1252	0000	0000	0	889	0000	0000	0	867	0000	0000	0	931	0000	0000
Fairbanks North Star, AK	02090	0	57914	0000	0000	0	62155	0000	0000	0	65473	0000	0000	0	64691	0000	0000	0	6486	0000	0000	0	7507	0000	0000	0	7277	0000	0000	0	5929	0000	0000	0	5654	0000	0000	0	5469	0000	0000
Haines, AK	02100	0	43893	0000	0000	0	47005	0000	0000	0	48299	0000	0000	0	48644	0000	0000	0	271	0000	0000	0	263	0000	0000	0	285	0000	0000	0	236	0000	0000	0	237	0000	0000	0	256	0000	0000
Hoonah-Angoon, AK	02105	1	45027	5084	0000	1	44506	5084	0000	1	46511	5051	0000	0	41824	0000	0000	1	402	5084	0000	1	376	5084	0000	1	391	5084	0000	1	221	5084	0000	1	261	5084	0000	1	307	5084	0000
Juneau, AK	02110	0	67791	0000	0000	0	75302	0000	0000	0	71313	0000	0000	0	73044	0000	0000	0	1607	0000	0000	0	1952	0000	0000	0	1960	0000	0000	0	1760	0000	0000	0	1746	0000	0000	0	1882	0000	0000
Kenai Peninsula, AK	02122	0	54281	0000	0000	0	56648	0000	0000	0	54206	0000	0000	0	57171	0000	0000	0	4755	0000	0000	0	5481	0000	0000	0	5438	0000	0000	0	4619	0000	0000	0	4337	0000	0000	0	4574	0000	0000
Ketchikan Gateway, AK	02130	0	58720	0000	0000	0	57202	0000	0000	0	58689	0000	0000	0	58492	0000	0000	0	877	0000	0000	0	1160	0000	0000	0	1158	0000	0000	0	1017	0000	0000	0	974	0000	0000	0	1022	0000	0000
Kodiak Island, AK	02150	0	59814	0000	0000	0	59010	0000	0000	0	61525	0000	0000	0	62574	0000	0000	0	1134	0000	0000	0	1323	0000	0000	0	1234	0000	0000	0	928	0000	0000	0	982	0000	0000	0	1028	0000	0000
Lake and Peninsula, AK	02164	0	37632	0000	0000	0	40574	0000	0000	0	43687	0000	0000	0	42236	0000	0000	0	347	0000	0000	0	479	0000	0000	0	429	0000	0000	0	300	0000	0000	0	290	0000	0000	0	297	0000	0000
Matanuska-Susitna, AK	02170	0	59733	0000	0000	0	64969	0000	0000	0	71575	0000	0000	0	70442	0000	0000	0	5301	0000	0000	0	6478	0000	0000	0	6312	0000	0000	0	5517	0000	0000	0	5367	0000	0000	0	5631	0000	0000
Nome, AK	02180	0	44737	0000	0000	0	46942	0000	0000	0	46892	0000	0000	0	48174	0000	0000	0	2008	0000	0000	0	2170	0000	0000	0	2090	0000	0000	0	1527	0000	0000	0	1553	0000	0000	0	1539	0000	0000
North Slope, AK	02185	0	65081	0000	0000	0	68589	0000	0000	0	72499	0000	0000	0	75057	0000	0000	0	308	0000	0000	0	406	0000	0000	0	471	0000	0000	0	510	0000	0000	0	565	0000	0000	0	637	0000	0000
Northwest Arctic, AK	02188	0	48642	0000	0000	0	50168	0000	0000	0	57721	0000	0000	0	52272	0000	0000	0	1344	0000	0000	0	1434	0000	0000	0	1314	0000	0000	0	1107	0000	0000	0	1119	0000	0000	0	1118	0000	0000
Petersburg, AK	02195	1	54054	5090	0000	1	53048	5090	0000	1	54274	5090	0000	0	51374	0000	0000	1	578	5090	0000	1	703	5090	0000	1	692	5090	0000	1	538	5090	0000	1	539	5090	0000	1	541	5090	0000
Prince of Wales-Hyder, AK	02198	0	42667	0000	0000	0	42798	0000	0000	0	44491	0000	0000	0	43210	0000	0000	0	815	0000	0000	0	983	0000	0000	0	945	0000	0000	0	741	0000	0000	0	850	0000	0000	0	909	0000	0000
Sitka, AK	02220	0	54050	0000	0000	0	58958	0000	0000	0	61436	0000	0000	0	59536	0000	0000	0	552	0000	0000	0	686	0000	0000	0	682	0000	0000	0	596	0000	0000	0	568	0000	0000	0	589	0000	0000
Skagway, AK	02230	2	0	5084	0000	2	0	5084	0000	2	0	5084	0000	0	63947	0000	0000	2	0	5084	0000	2	0	5084	0000	2	0	5084	0000	2	0	5084	0000	2	0	5084	0000	2	0	5084	0000
Southeast Fairbanks, AK	02240	0	50477	0000	0000	0	52330	0000	0000	0	59124	0000	0000	0	54749	0000	0000	0	904	0000	0000	0	1092	0000	0000	0	1102	0000	0000	0	1007	0000	0000	0	962	0000	0000	0	1000	0000	0000
Valdez-Cordova, AK	02261	0	56508	0000	0000	0	55428	0000	0000	0	58946	0000	0000	0	60780	0000	0000	0	853	0000	0000	0	1005	0000	0000	0	952	0000	0000	0	807	0000	0000	0	776	0000	0000	0	814	0000	0000
Wade Hampton, AK	02270	0	29608	0000	0000	0	30335	0000	0000	0	33033	0000	0000	0	30238	0000	0000	0	2641	0000	0000	0	2762	0000	0000	0	2658	0000	0000	0	1940	0000	0000	0	2028	0000	0000	0	2091	0000	0000
Wrangell, AK	02275	2	0	5090	0000	2	0	5090	0000	2	0	5090	0000	0	48021	0000	0000	2	0	5090	0000	2	0	5090	0000	2	0	5090	0000	2	0	5090	0000	2	0	5090	0000	2	0	5090	0000
Yakutat, AK	02282	0	47723	0000	0000	0	49330	0000	0000	0	54401	0000	0000	0	52102	0000	0000	0	0	0000	0000	0	0	0000	0000	0	0	0000	0000	0	41	0000	0000	0	65	0000	0000	0	62	0000	0000
Yukon-Koyukuk, AK	02290	0	31093	0000	0000	0	32097	0000	0000	0	33900	0000	0000	0	32125	0000	0000	0	1578	0000	0000	0	1542	0000	0000	0	1408	0000	0000	0	1144	0000	0000	0	1142	0000	0000	0	1119	0000	0000
ARIZONA	04000	0	47315	0000	0000	0	49923	0000	0000	0	51009	0000	0000	0	48711	0000	0000	0	722660	0000	0000	0	720713	0000	0000	0	710652	0000	0000	0	643045	0000	0000	0	646762	0000	0000	0	703143	0000	0000
Apache, AZ	04001	0	27600	0000	0000	0	29976	0000	0000	0	31728	0000	0000	0	28956	0000	0000	0	27275	0000	0000	0	27436	0000	0000	0	26760	0000	0000	0	20815	0000	0000	0	20549	0000	0000	0	19599	0000	0000
Cochise, AZ	04003	0	38825	0000	0000	0	42995	0000	0000	0	44000	0000	0000	0	43786	0000	0000	0	22229	0000	0000	0	23611	0000	0000	0	23235	0000	0000	0	19021	0000	0000	0	18906	0000	0000	0	19929	0000	0000
Coconino, AZ	04005	0	43683	0000	0000	0	48549	0000	0000	0	47933	0000	0000	0	49777	0000	0000	0	21821	0000	0000	0	21855	0000	0000	0	21711	0000	0000	0	18066	0000	0000	0	17891	0000	0000	0	18450	0000	0000
Gila, AZ	04007	0	35716	0000	0000	0	34761	0000	0000	0	38405	0000	0000	0	36764	0000	0000	0	9218	0000	0000	0	9885	0000	0000	0	10209	0000	0000	0	8998	0000	0000	0	8925	0000	0000	0	9026	0000	0000
Graham, AZ	04009	0	34618	0000	0000	0	38798	0000	0000	0	40902	0000	0000	0	40609	0000	0000	0	6862	0000	0000	0	6885	0000	0000	0	6599	0000	0000	0	5911	0000	0000	0	6428	0000	0000	0	6732	0000	0000
Greenlee, AZ	04011	0	46728	0000	0000	0	50195	0000	0000	0	53654	0000	0000	0	56855	0000	0000	0	966	0000	0000	0	972	0000	0000	0	965	0000	0000	0	855	0000	0000	0	801	0000	0000	0	842	0000	0000
La Paz, AZ	04012	0	29534	0000	0000	0	29912	0000	0000	0	32973	0000	0000	0	30939	0000	0000	0	3626	0000	0000	0	3633	0000	0000	0	3578	0000	0000	0	3353	0000	0000	0	3995	0000	0000	0	4225	0000	0000
Maricopa, AZ	04013	0	52522	0000	0000	0	54733	0000	0000	0	56511	0000	0000	0	53284	0000	0000	0	362298	0000	0000	0	355924	0000	0000	0	344304	0000	0000	0	323288	0000	0000	0	322120	0000	0000	0	362057	0000	0000
Mohave, AZ	04015	0	36320	0000	0000	0	39669	0000	0000	0	38641	0000	0000	0	39863	0000	0000	0	20845	0000	0000	0	23184	0000	0000	0	24222	0000	0000	0	23194	0000	0000	0	24294	0000	0000	0	26529	0000	0000
Navajo, AZ	04017	0	35824	0000	0000	0	38871	0000	0000	0	39416	0000	0000	0	34855	0000	0000	0	26729	0000	0000	0	27546	0000	0000	0	27340	0000	0000	0	22465	0000	0000	0	23508	0000	0000	0	24108	0000	0000
Pima, AZ	04019	0	43002	0000	0000	0	43721	0000	0000	0	46653	0000	0000	0	43243	0000	0000	0	129300	0000	0000	0	127496	0000	0000	0	126812	0000	0000	0	110933	0000	0000	0	109374	0000	0000	0	115826	0000	0000
Pinal, AZ	04021	0	43627	0000	0000	0	49906	0000	0000	0	50208	0000	0000	0	49088	0000	0000	0	29544	0000	0000	0	28695	0000	0000	0	27470	0000	0000	0	24399	0000	0000	0	27242	0000	0000	0	29430	0000	0000
Santa Cruz, AZ	04023	0	34620	0000	0000	0	35661	0000	0000	0	38490	0000	0000	0	35545	0000	0000	0	9935	0000	0000	0	9961	0000	0000	0	10575	0000	0000	0	8834	0000	0000	0	8465	0000	0000	0	8619	0000	0000
